ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions,ExpectedDomain,DomainFlag
5214,Talat Hussain,ARY News,Nawa-i-Waqt,Sindh,Hyderabad,Politics,PPP vs PMLN war of words heats up,95.27717844,1000000.0,,-0.463951795,2.0,,,5000000.0,0,0,2021-11-06,urdu,Neutral,,"['Politics', 'Media']",1
5215,Shahzeb Khanzada,Hum News,Dawn,Punjab,Lahore,Sports,Cricket team departs for World Cup,57.07232848,,,0.3378175519,,831240.0,84786.0,2238091.05,,0,2018-07-10,Urdu,Pro-Govt,1347.0,"['Politics', 'Economy', 'Media']",0
5216,Matiullah Jan,Dawn News,Nawa-i-Waqt,Islamabad,Islamabad,Judiciary,CJ addresses bar association,,1000000.0,,,,1663772.0,43514.0,1269091.195,1,0,2021-03-22,urdu,,,"['Judiciary', 'Politics']",1
5217,Umar Cheema,AbbTakk News,Jang,Punjab,Rawalpindi,Environment,Floods devastate Sindh villages,,,,1.854774955,3.0,,,5000000.0,0,0,2018-03-04,urdu,,,"['Crime', 'Politics']",0
5218,Dr. Shahid Masood,Hum News,Jang,KPK,Peshawar,Crime,International squash event begins in Islamabad,100.0,13281704.0,129.0,1.352298683,3.0,,33941.0,1932415.725,1,0,2024-09-03,,Pro-Govt,,"['Politics', 'Judiciary']",0
5219,Kamran Khan,Hum News,Dawn,Punjab,Multan,Environment,Thousands displaced due to rains,60.22591679,5000000.0,,,,376999.0,,10000000.0,0,0,2022-10-06,urdu,Opposition,48072.0,"['Politics', 'Economy', 'Sports', 'Media']",0
5220,Shahzeb Khanzada,ARY News,Express Tribune,AJK,Muzaffarabad,Crime,ARY anchor arrested in midnight raid,71.12319966,1000000.0,53.0,-1.786778179,,20.70154501,5121.0,,,0,2024-12-01,,Pro-Govt,19141.0,"['Politics', 'Economy', 'Media']",0
5221,Rauf Klasra,Express News,Nawa-i-Waqt,Balochistan,Quetta,Terrorism,Militant hideout destroyed in KPK,100.0,20000000.0,28.0,-0.2342660869,,32.71351311,70283.0,,0,0,2018-04-19,,Pro-Govt,4032.0,"['Politics', 'Economy']",0
5222,Umar Cheema,Geo News,Dawn,Punjab,Multan,Environment,Climate change worsening floods,0.155512913,20000000.0,494.0,,0.0,,,10000000.0,0,0,2022-11-05,Urdu,Neutral,38056.0,"['Crime', 'Politics']",0
5223,Kamran Khan,ARY News,Dawn,Sindh,Hyderabad,Economy,Stock exchange crashes amid crisis,,5000000.0,43.0,0.1411223006,,,,121036.9083,1,0,2021-08-10,ENG,Pro-Govt,,"['Politics', 'Economy', 'Sports', 'Media']",1
5224,Kamran Shahid,AbbTakk News,Dawn,KPK,Peshawar,Education,Curriculum reforms announced,51.57033065,9187663.0,158.0,,2.0,1726242.0,,10000000.0,0,0,2018-12-19,urdu,Opposition,,"['Politics', 'Media']",0
5225,Rauf Klasra,Geo News,Jang,Punjab,Lahore,Economy,Pakistan seeks investment from Gulf countries,,,,1.659346924,1.0,1751483.0,122487.0,,0,0,2018-01-01,urdu,Opposition,,"['Politics', 'Economy']",1
5226,Ansar Abbasi,Express News,Daily Pakistan,Punjab,Lahore,Sports,Pakistan faces defeat in hockey series,,5000000.0,275.0,,3.0,1417784.0,,4325876.88,0,0,2022-04-11,ENG,Neutral,,"['Judiciary', 'Politics']",0
5227,Matiullah Jan,Samaa TV,Express Tribune,AJK,Muzaffarabad,Politics,Government announces new health policy,100.0,,87.0,,0.0,13.88689611,150739.0,4901730.013,1,0,2020-09-08,ENG,Pro-Govt,7773.0,"['Judiciary', 'Politics']",1
5228,Ansar Abbasi,ARY News,Express Tribune,Islamabad,Islamabad,Judiciary,CJ addresses bar association,,,14.0,,,16.8365447,,4037071.791,0,0,2019-10-24,ENG,Pro-Govt,,"['Judiciary', 'Politics']",1
5229,Matiullah Jan,ARY News,Dawn,KPK,Peshawar,Sports,Karachi Kings beat Multan Sultans,,1000000.0,460.0,,3.0,,2754.0,,0,0,2020-03-13,,Neutral,,"['Judiciary', 'Politics']",0
5230,Kamran Khan,Dawn News,Daily Pakistan,Balochistan,Quetta,Environment,Thousands displaced due to rains,0.7018129574,20000000.0,21.0,,,,,10000000.0,,0,2020-04-12,English,,,"['Politics', 'Economy', 'Sports', 'Media']",0
5231,Umar Cheema,ARY News,Nawa-i-Waqt,AJK,Muzaffarabad,Health,Doctors protest low salaries,91.21851998,1000000.0,,,,433627.0,34218.0,4463279.764,0,0,2022-09-01,ENG,Neutral,8725.0,"['Crime', 'Politics']",0
5232,Mohsin Raza,Geo News,Nawa-i-Waqt,Islamabad,Islamabad,Education,Teachers boycott classes in KP,,1000000.0,,1.35982475,,4.910663371,,10000000.0,,0,2025-03-21,Urdu,Opposition,9315.0,"['Media', 'Politics']",0
5233,Nusrat Javed,Samaa TV,Dawn,Sindh,Hyderabad,Education,Teachers boycott classes in KP,88.62106959,1000000.0,303.0,-1.467723482,,1660447.0,123075.0,10000000.0,1,0,2024-02-18,English,Pro-Govt,,"['Politics', 'Media']",0
5234,Umar Cheema,AbbTakk News,Daily Pakistan,AJK,Muzaffarabad,Terrorism,Mental health awareness campaign launched,,1000000.0,,0.9649166539,,,79534.0,5000000.0,,0,2020-04-23,English,Neutral,,"['Crime', 'Politics']",0
5235,Dr. Shahid Masood,Hum News,Daily Pakistan,Sindh,Hyderabad,Media,News anchor resigns citing threats,,17901762.0,,-0.8088784675,4.0,,69529.0,5000000.0,0,0,2023-10-05,ENG,Neutral,,"['Politics', 'Judiciary']",0
5236,Ansar Abbasi,Dawn News,Jang,Punjab,Rawalpindi,Health,Doctors protest low salaries,,,,,,31.81425208,14887.0,5000000.0,0,0,2022-08-05,ENG,,7238.0,"['Judiciary', 'Politics']",0
5237,Umar Cheema,AbbTakk News,Jang,KPK,Peshawar,Environment,Flood relief funds under scrutiny,9.809389961,,46.0,,,1881097.0,78659.0,5000000.0,1,0,2023-01-21,English,Neutral,37311.0,"['Crime', 'Politics']",0
5238,Nusrat Javed,Hum News,The News,AJK,Muzaffarabad,Politics,SC disqualifies minister in assets case,,5000000.0,,,,1509755.0,,,1,0,2024-04-15,English,Opposition,19518.0,"['Politics', 'Media']",1
5239,Umar Cheema,Express News,Dawn,Islamabad,Islamabad,Terrorism,Security forces foil major terror bid,,9137327.0,349.0,,,,144090.0,,,0,2022-01-26,urdu,Opposition,,"['Crime', 'Politics']",0
5240,Dr. Shahid Masood,ARY News,Daily Pakistan,Punjab,Rawalpindi,Environment,Floods devastate Sindh villages,84.33950568,5000000.0,414.0,0.2774303,,1737730.0,,,0,0,2022-02-11,,Neutral,38303.0,"['Politics', 'Judiciary']",0
5241,Kamran Shahid,ARY News,Jang,Punjab,Lahore,Politics,PPP vs PMLN war of words heats up,55.92025733,5000000.0,,-1.282421783,3.0,22.81824831,,4168698.007,0,0,2021-09-14,urdu,,9436.0,"['Politics', 'Media']",1
5242,Mohsin Raza,Dawn News,The News,AJK,Muzaffarabad,Politics,Government announces new health policy,,,,-1.405988085,3.0,,,,,0,2020-10-01,,Opposition,34640.0,"['Media', 'Politics']",1
5243,Ansar Abbasi,Geo News,Jang,AJK,Muzaffarabad,Terrorism,Army chief meets PM over political crisis,99.71057181,1000000.0,,0.7515876721,,,108940.0,3025232.391,0,0,2025-04-05,ENG,Neutral,25690.0,"['Judiciary', 'Politics']",0
5244,Matiullah Jan,Samaa TV,The News,Punjab,Multan,Health,COVID resurfaces in Islamabad schools,77.15825738,7438051.0,275.0,-0.4333390445,,1253541.0,184136.0,,0,0,2022-08-08,,Pro-Govt,,"['Judiciary', 'Politics']",0
5245,Umar Cheema,Hum News,Express Tribune,Islamabad,Islamabad,Terrorism,Army chief meets PM over political crisis,39.87837148,1000000.0,,,2.0,1537127.0,,5000000.0,,0,2024-10-05,Urdu,,,"['Crime', 'Politics']",0
5246,Shahzeb Khanzada,ARY News,Nawa-i-Waqt,Punjab,Multan,Education,Education ministry faces criticism,,1000000.0,,,0.0,,,10000000.0,1,0,2018-02-07,,Opposition,,"['Politics', 'Economy', 'Media']",0
5247,Asma Shirazi,Express News,The News,Sindh,Karachi,Media,New universities to be established,94.10989044,,140.0,,,,76906.0,4010284.185,0,0,2025-01-20,ENG,Neutral,,"['Politics', 'Media']",1
5248,Kamran Khan,Hum News,Daily Pakistan,Punjab,Lahore,Judiciary,Case adjourned till next week,34.81503177,20000000.0,209.0,-1.78955088,,42.41110961,121292.0,10000000.0,0,0,2019-09-18,Urdu,Pro-Govt,,"['Politics', 'Economy', 'Sports', 'Media']",0
5249,Rauf Klasra,Geo News,Express Tribune,Balochistan,Quetta,Education,Curriculum reforms announced,89.3542443,1000000.0,19.0,1.104556531,,,,10000000.0,,0,2020-02-12,English,,,"['Politics', 'Economy']",0
5250,Shahzeb Khanzada,ARY News,The News,AJK,Muzaffarabad,Economy,Exports see slight recovery,25.0716754,20000000.0,154.0,-1.092168164,-1.0,,67302.0,,0,0,2022-04-20,,,2306.0,"['Politics', 'Economy', 'Media']",1
5251,Ansar Abbasi,ARY News,Nawa-i-Waqt,Punjab,Lahore,Health,New universities to be established,100.0,,,,2.0,903356.0,,10000000.0,0,0,2022-01-01,ENG,,,"['Judiciary', 'Politics']",0
5252,Ansar Abbasi,ARY News,Nawa-i-Waqt,Sindh,Karachi,Health,Hospitals face medicine shortages,,5000000.0,308.0,-0.1536363104,1.0,411967.0,119662.0,1938895.293,1,0,2024-08-03,ENG,Opposition,,"['Judiciary', 'Politics']",0
5253,Kamran Khan,Dawn News,Daily Pakistan,AJK,Muzaffarabad,Judiciary,CJ addresses bar association,95.98814711,,,-0.6262643264,,,,5000000.0,1,0,2020-04-09,ENG,Neutral,,"['Politics', 'Economy', 'Sports', 'Media']",0
5254,Ansar Abbasi,Dawn News,Daily Pakistan,Punjab,Rawalpindi,Crime,Counter-terrorism department arrests suspects,,5000000.0,,-0.1193870162,,1118175.0,,5000000.0,1,0,2019-09-26,,,7465.0,"['Judiciary', 'Politics']",0
5255,Mohsin Raza,Dawn News,Nawa-i-Waqt,KPK,Peshawar,Health,COVID resurfaces in Islamabad schools,,1000000.0,119.0,,,27.03532022,196462.0,5000000.0,0,0,2025-04-17,English,Pro-Govt,,"['Media', 'Politics']",0
5256,Ansar Abbasi,AbbTakk News,Dawn,Punjab,Multan,Education,Student unions demand restoration,,99809.0,418.0,-1.290168283,,37.99111408,9688.0,554401.3027,0,0,2025-06-02,ENG,Neutral,18534.0,"['Judiciary', 'Politics']",0
5257,Dr. Shahid Masood,Dawn News,Jang,Sindh,Karachi,Sports,Hockey team faces funding crisis,100.0,20000000.0,101.0,,,1506601.0,18393.0,2216230.194,,0,2022-11-28,ENG,Opposition,5875.0,"['Politics', 'Judiciary']",0
5258,Ansar Abbasi,Hum News,The News,KPK,Peshawar,Economy,Revenue from tax declines drastically,93.04571406,829489.0,403.0,-1.215520218,4.0,12492.0,,10000000.0,0,0,2024-07-20,Urdu,,,"['Judiciary', 'Politics']",0
5259,Rauf Klasra,Geo News,Daily Pakistan,Sindh,Hyderabad,Media,"Judiciary under pressure, say analysts",,5000000.0,341.0,1.620006566,,42.1685321,,1758247.2,0,0,2020-02-22,urdu,Pro-Govt,32084.0,"['Politics', 'Economy']",0
5260,Matiullah Jan,Geo News,Dawn,Punjab,Lahore,Environment,NDMA warns of heavy rains in Punjab,,9213167.0,495.0,1.557919768,-1.0,514736.0,,,1,0,2024-10-27,urdu,,,"['Judiciary', 'Politics']",0
5261,Asma Shirazi,Geo News,Daily Pakistan,Punjab,Lahore,Politics,Supreme Court issues notice on corruption case,,20000000.0,74.0,-1.559238492,2.0,48.91528478,,10000000.0,,0,2018-06-02,Urdu,Neutral,,"['Politics', 'Media']",1
5262,Asma Shirazi,Geo News,The News,Punjab,Rawalpindi,Politics,Khan addresses rally in Multan,,20000000.0,,1.358048595,,34.89305425,153279.0,,1,0,2024-10-26,,Neutral,,"['Politics', 'Media']",1
5263,Shahzeb Khanzada,ARY News,Nawa-i-Waqt,Islamabad,Islamabad,Sports,Hockey team faces funding crisis,,,,,,,,3084601.564,,0,2019-08-25,Urdu,Neutral,,"['Politics', 'Economy', 'Media']",0
5264,Shahzeb Khanzada,Dawn News,Daily Pakistan,Punjab,Rawalpindi,Terrorism,Attack on Army convoy in Waziristan,,,,,1.0,9.461887107,90276.0,3598445.153,1,0,2022-03-21,ENG,Neutral,29081.0,"['Politics', 'Economy', 'Media']",0
5265,Owais Tohid,Dawn News,Daily Pakistan,Islamabad,Islamabad,Sports,Hockey team faces funding crisis,41.9010406,10872502.0,447.0,-1.875999427,,17.24489592,,5000000.0,0,0,2020-01-18,ENG,,1765.0,"['Media', 'Politics']",0
5266,Kamran Shahid,Geo News,Jang,AJK,Muzaffarabad,Terrorism,Attack on Army convoy in Waziristan,,1000000.0,1.0,,,286013.0,150616.0,10000000.0,0,0,2022-12-20,Urdu,Neutral,3070.0,"['Politics', 'Media']",0
5267,Rauf Klasra,Geo News,Express Tribune,Punjab,Rawalpindi,Health,International squash event begins in Islamabad,,,,-0.6933034843,3.0,1471945.0,13401.0,4352787.862,1,0,2025-09-08,,,,"['Politics', 'Economy']",0
5268,Kamran Shahid,AbbTakk News,Express Tribune,AJK,Muzaffarabad,Education,University students protest fee hikes,100.0,8461748.0,441.0,,,1310212.0,88504.0,5000000.0,1,0,2018-02-03,,Opposition,,"['Politics', 'Media']",0
5269,Dr. Shahid Masood,Hum News,The News,Punjab,Multan,Sports,Pakistan faces defeat in hockey series,47.82091399,,,,,1299264.0,59418.0,5000000.0,1,0,2024-03-28,,Pro-Govt,,"['Politics', 'Judiciary']",0
5270,Rauf Klasra,ARY News,Daily Pakistan,Sindh,Karachi,Environment,Climate change worsening floods,49.99974375,1000000.0,,,,,,,1,0,2022-06-21,Urdu,Opposition,17714.0,"['Politics', 'Economy']",0
5271,Talat Hussain,Dawn News,Dawn,Islamabad,Islamabad,Education,University students protest fee hikes,,,,,4.0,1.102945154,,10000000.0,,0,2022-10-08,Urdu,Opposition,24576.0,"['Politics', 'Media']",0
5272,Nusrat Javed,Express News,Nawa-i-Waqt,Punjab,Multan,Crime,Villages submerged in southern Punjab,25.58310219,5000000.0,170.0,-0.2805158763,,,159330.0,10000000.0,,0,2019-03-07,,,,"['Politics', 'Media']",0
5273,Kamran Shahid,Samaa TV,Dawn,Sindh,Hyderabad,Media,News anchor resigns citing threats,100.0,5000000.0,181.0,1.064870217,4.0,,184185.0,5000000.0,,0,2020-09-28,,,,"['Politics', 'Media']",1
5274,Talat Hussain,Samaa TV,Express Tribune,AJK,Muzaffarabad,Politics,Government launches CPEC project in Gwadar,,,95.0,,-1.0,,56560.0,,0,0,2025-08-23,urdu,Neutral,,"['Politics', 'Media']",1
5275,Ansar Abbasi,ARY News,Nawa-i-Waqt,Balochistan,Quetta,Health,Dengue cases rising in Lahore hospitals,,20000000.0,341.0,,,22.78213975,167974.0,5000000.0,1,0,2022-11-10,Urdu,Neutral,47709.0,"['Judiciary', 'Politics']",0
5276,Kamran Khan,Samaa TV,The News,Balochistan,Quetta,Economy,Exports see slight recovery,,20000000.0,,-1.461294812,,24.0155543,,10000000.0,1,0,2024-03-26,ENG,Pro-Govt,38436.0,"['Politics', 'Economy', 'Sports', 'Media']",1
5277,Ansar Abbasi,Hum News,Express Tribune,Punjab,Rawalpindi,Politics,Election rigging scandal unfolds in Lahore,100.0,5000000.0,,,5.0,758896.0,,5000000.0,1,0,2022-07-20,English,Opposition,,"['Judiciary', 'Politics']",1
5278,Asma Shirazi,Geo News,Jang,Punjab,Multan,Education,Private schools increase fees,,,,-0.5357764731,,442704.0,193918.0,10000000.0,1,0,2025-05-05,ENG,Pro-Govt,21356.0,"['Politics', 'Media']",0
5279,Rauf Klasra,Hum News,The News,Balochistan,Quetta,Economy,Bomb blast near Karachi market,100.0,,,1.358203896,5.0,8.200819198,125894.0,1140071.694,1,0,2022-08-09,,Pro-Govt,12361.0,"['Politics', 'Economy']",1
5280,Dr. Shahid Masood,Express News,Dawn,Islamabad,Islamabad,Education,Matric exams leaked in Karachi,,5000000.0,187.0,-0.317987273,2.0,,75142.0,5000000.0,1,0,2024-03-24,Urdu,Neutral,45996.0,"['Politics', 'Judiciary']",0
5281,Kamran Shahid,Hum News,Express Tribune,Punjab,Multan,Education,Punjab launches scholarship scheme,53.88619913,20000000.0,57.0,-0.2464883249,,,,5000000.0,1,0,2020-10-11,,Neutral,,"['Politics', 'Media']",0
5282,Ansar Abbasi,Express News,Nawa-i-Waqt,Balochistan,Quetta,Media,"Media freedom at risk, says HRCP report",,20000000.0,214.0,,4.0,,,3664215.191,1,0,2019-04-06,ENG,,49287.0,"['Judiciary', 'Politics']",0
5283,Mohsin Raza,Express News,Nawa-i-Waqt,Punjab,Rawalpindi,Health,Senate passes constitutional amendment,,20000000.0,156.0,-0.819468515,1.0,,165602.0,,1,0,2024-03-26,urdu,Neutral,,"['Media', 'Politics']",0
5284,Najam Sethi,Express News,Daily Pakistan,Islamabad,Islamabad,Sports,New talent emerges in under-19 cricket,100.0,5000000.0,58.0,-1.208024683,-1.0,568145.0,,5000000.0,0,0,2018-03-09,English,,,"['Politics', 'Media', 'Sports']",1
5285,Shahzeb Khanzada,Hum News,Daily Pakistan,KPK,Peshawar,Education,Private schools increase fees,,12302798.0,,,,14.63847546,,256940.1975,0,0,2025-01-19,Urdu,Neutral,7724.0,"['Politics', 'Economy', 'Media']",0
5286,Najam Sethi,Hum News,Dawn,Balochistan,Quetta,Economy,Exports see slight recovery,,4355236.0,,,,,,5000000.0,,0,2021-07-13,urdu,Pro-Govt,,"['Politics', 'Media', 'Sports']",0
5287,Mohsin Raza,ARY News,Express Tribune,Punjab,Lahore,Crime,Top court rejects NAB report,,,401.0,,,11.10277484,,5000000.0,1,0,2018-08-14,English,Opposition,49602.0,"['Media', 'Politics']",0
5288,Mohsin Raza,Dawn News,Daily Pakistan,Punjab,Lahore,Sports,Hockey team faces funding crisis,36.57739305,5000000.0,39.0,,1.0,16.97431194,,,0,0,2020-01-17,English,,,"['Media', 'Politics']",0
5289,Nusrat Javed,Samaa TV,The News,Punjab,Multan,Terrorism,Security forces foil major terror bid,,11194455.0,,1.611562637,4.0,9.938469879,187979.0,5000000.0,1,0,2024-01-24,English,Pro-Govt,,"['Politics', 'Media']",0
5290,Talat Hussain,Samaa TV,Express Tribune,Sindh,Hyderabad,Education,Teachers boycott classes in KP,82.33896322,20000000.0,491.0,-1.438022153,5.0,,184311.0,5000000.0,1,0,2020-09-04,ENG,,,"['Politics', 'Media']",0
5291,Saleem Safi,Geo News,Daily Pakistan,AJK,Muzaffarabad,Politics,Election rigging scandal unfolds in Lahore,100.0,,435.0,,3.0,,,10000000.0,1,0,2022-10-03,,,27873.0,"['Politics', 'Terrorism']",1
5292,Matiullah Jan,Express News,Daily Pakistan,Islamabad,Islamabad,Economy,HEC budget slashed again,,5000000.0,,0.6691834528,,47.99819786,199673.0,,0,0,2020-03-11,ENG,Opposition,16565.0,"['Judiciary', 'Politics']",0
5293,Nusrat Javed,Express News,Jang,Punjab,Multan,Education,Punjab launches scholarship scheme,,20000000.0,417.0,-0.1425847602,4.0,,,2501632.781,0,0,2018-03-17,Urdu,,,"['Politics', 'Media']",0
5294,Najam Sethi,Dawn News,Daily Pakistan,AJK,Muzaffarabad,Terrorism,Suicide bombing in Peshawar mosque,,3448084.0,38.0,,-1.0,,48187.0,4806100.653,0,0,2022-06-22,urdu,Neutral,,"['Politics', 'Media', 'Sports']",0
5295,Kamran Khan,Geo News,The News,Punjab,Rawalpindi,Economy,Pakistan seeks investment from Gulf countries,94.78926175,1000000.0,,-0.9850310217,4.0,987142.0,,10000000.0,1,0,2020-05-24,English,,,"['Politics', 'Economy', 'Sports', 'Media']",1
5296,Kamran Shahid,ARY News,Express Tribune,Balochistan,Quetta,Education,Student unions demand restoration,,5000000.0,314.0,-0.3628154069,,26.28384189,,5000000.0,0,0,2020-09-01,ENG,Pro-Govt,,"['Politics', 'Media']",0
5297,Kamran Shahid,ARY News,Express Tribune,Sindh,Karachi,Media,Digital media gaining popularity,,7852707.0,,,1.0,,27070.0,7262.968105,1,0,2018-11-17,ENG,,,"['Politics', 'Media']",1
5298,Dr. Shahid Masood,Geo News,Daily Pakistan,Islamabad,Islamabad,Environment,Relief camp set up in Multan,84.21405057,20000000.0,,,0.0,,145805.0,1252465.224,1,0,2019-10-26,ENG,,,"['Politics', 'Judiciary']",0
5299,Shahzeb Khanzada,Hum News,Dawn,AJK,Muzaffarabad,Education,Curriculum reforms announced,100.0,5000000.0,347.0,,1.0,,,,1,0,2024-11-23,,Pro-Govt,,"['Politics', 'Economy', 'Media']",0
5300,Owais Tohid,ARY News,Express Tribune,Balochistan,Quetta,Terrorism,Militant hideout destroyed in KPK,57.54775549,20000000.0,425.0,-0.6595925512,,1869467.0,,1374820.035,1,0,2022-04-07,urdu,Neutral,,"['Media', 'Politics']",0
5301,Matiullah Jan,Geo News,Jang,Sindh,Hyderabad,Judiciary,Lawyers boycott proceedings,,1000000.0,,,,1631122.0,75264.0,5000000.0,1,0,2025-05-09,,,,"['Judiciary', 'Politics']",1
5302,Ansar Abbasi,Geo News,Nawa-i-Waqt,Punjab,Lahore,Crime,International squash event begins in Islamabad,100.0,1000000.0,322.0,,5.0,1647201.0,68617.0,5000000.0,0,0,2022-05-23,ENG,Pro-Govt,6349.0,"['Judiciary', 'Politics']",0
5303,Rauf Klasra,Geo News,Nawa-i-Waqt,AJK,Muzaffarabad,Media,Geo TV faces heavy fines by PEMRA,2.808975551,,459.0,-0.652854867,,49.47369334,81573.0,10000000.0,,0,2019-07-19,Urdu,Opposition,8864.0,"['Politics', 'Economy']",0
5304,Kamran Khan,ARY News,Daily Pakistan,Punjab,Rawalpindi,Politics,Opposition stages walkout in National Assembly,,5000000.0,,-1.739235205,,29.18104282,,5000000.0,,0,2020-05-15,,Opposition,33633.0,"['Politics', 'Economy', 'Sports', 'Media']",1
5305,Shahzeb Khanzada,AbbTakk News,Nawa-i-Waqt,AJK,Muzaffarabad,Economy,Bomb blast near Karachi market,73.12491631,5000000.0,,,5.0,662054.0,,5000000.0,,0,2018-08-09,Urdu,Opposition,39816.0,"['Politics', 'Economy', 'Media']",1
5306,Matiullah Jan,Samaa TV,Jang,Islamabad,Islamabad,Politics,Government launches CPEC project in Gwadar,89.08349202,,,,,,,,0,0,2022-08-10,Urdu,Pro-Govt,,"['Judiciary', 'Politics']",1
5307,Ansar Abbasi,Dawn News,Express Tribune,Islamabad,Islamabad,Crime,Chief Justice orders suo moto on Karachi violence,100.0,1000000.0,255.0,-1.087251602,3.0,41.12794089,,10000000.0,0,0,2019-01-20,English,Opposition,,"['Judiciary', 'Politics']",0
5308,Saleem Safi,Express News,Daily Pakistan,Punjab,Lahore,Environment,NDMA warns of heavy rains in Punjab,,20000000.0,338.0,-0.9451714271,0.0,41.67569171,,3004386.057,1,0,2025-05-12,English,Neutral,,"['Politics', 'Terrorism']",0
5309,Shahzeb Khanzada,Geo News,Nawa-i-Waqt,Sindh,Hyderabad,Education,Remittances fall sharply in July,46.86097166,5000000.0,489.0,0.5873809546,,4.34842629,63181.0,5000000.0,0,0,2019-11-12,urdu,Neutral,,"['Politics', 'Economy', 'Media']",0
5310,Ansar Abbasi,Geo News,Jang,KPK,Peshawar,Media,PEMRA issues warning to multiple channels,,6037180.0,,,0.0,,,,1,0,2020-08-10,English,Opposition,34553.0,"['Judiciary', 'Politics']",0
5311,Umar Cheema,ARY News,Jang,Punjab,Multan,Environment,Thousands displaced due to rains,,5000000.0,,,,48.05095131,,5000000.0,0,0,2025-05-25,English,,48974.0,"['Crime', 'Politics']",0
5312,Shahzeb Khanzada,Express News,Dawn,Sindh,Karachi,Crime,Top court rejects NAB report,7.614499817,5000000.0,195.0,-1.882944241,,,,10000000.0,0,0,2020-11-20,English,,,"['Politics', 'Economy', 'Media']",0
5313,Asma Shirazi,Geo News,Jang,AJK,Muzaffarabad,Media,Dawn faces backlash over editorial,10.7226644,20000000.0,,,4.0,1474465.0,4475.0,4398343.119,0,0,2020-08-09,Urdu,Opposition,,"['Politics', 'Media']",1
5314,Umar Cheema,ARY News,Jang,AJK,Muzaffarabad,Health,COVID resurfaces in Islamabad schools,,1000000.0,,-1.763617454,,1668345.0,661.0,5000000.0,1,0,2019-03-23,urdu,Opposition,2570.0,"['Crime', 'Politics']",0
5315,Kamran Khan,Express News,Dawn,Sindh,Hyderabad,Crime,Counter-terrorism department arrests suspects,,1000000.0,117.0,,3.0,,57802.0,,1,0,2020-11-06,Urdu,Pro-Govt,17855.0,"['Politics', 'Economy', 'Sports', 'Media']",0
5316,Kamran Khan,Express News,Daily Pakistan,Punjab,Lahore,Politics,SC disqualifies minister in assets case,,20000000.0,,1.922147467,-1.0,,,5000000.0,0,0,2025-01-16,English,Opposition,22517.0,"['Politics', 'Economy', 'Sports', 'Media']",1
5317,Matiullah Jan,Dawn News,Express Tribune,Sindh,Hyderabad,Politics,Government to increase petrol price by Rs. 20,,1000000.0,,,3.0,,171843.0,10000000.0,,0,2018-07-03,Urdu,Pro-Govt,,"['Judiciary', 'Politics']",1
5318,Rauf Klasra,Geo News,Express Tribune,Sindh,Karachi,Media,Newspaper circulation declines,2.962852282,5000000.0,183.0,,,16.42638741,,10000000.0,,0,2024-01-10,Urdu,Neutral,,"['Politics', 'Economy']",0
5319,Kamran Shahid,Geo News,Nawa-i-Waqt,Sindh,Hyderabad,Sports,Villages submerged in southern Punjab,,20000000.0,453.0,-1.194078543,-1.0,1732929.0,,4092602.036,,0,2021-09-17,Urdu,Neutral,16746.0,"['Politics', 'Media']",0
5320,Ansar Abbasi,Dawn News,The News,Punjab,Rawalpindi,Politics,International squash event begins in Islamabad,86.41893294,11709236.0,,-1.996987142,4.0,1534835.0,91745.0,5000000.0,1,0,2020-08-17,,Opposition,35225.0,"['Judiciary', 'Politics']",1
5321,Kamran Khan,Hum News,Dawn,Punjab,Multan,Politics,PPP vs PMLN war of words heats up,30.17479416,769491.0,395.0,,1.0,824244.0,70387.0,2300044.693,,0,2020-12-07,Urdu,Neutral,1426.0,"['Politics', 'Economy', 'Sports', 'Media']",1
5322,Dr. Shahid Masood,ARY News,Jang,KPK,Peshawar,Crime,Court orders release of missing persons,,1000000.0,474.0,,1.0,,92147.0,10000000.0,1,0,2019-09-17,Urdu,Pro-Govt,4552.0,"['Politics', 'Judiciary']",0
5323,Talat Hussain,Hum News,The News,Punjab,Multan,Sports,Pakistan faces defeat in hockey series,81.27803948,5256754.0,206.0,-0.7918465959,,,,5000000.0,1,0,2019-04-27,ENG,,,"['Politics', 'Media']",0
5324,Matiullah Jan,Hum News,Nawa-i-Waqt,KPK,Peshawar,Politics,Election rigging scandal unfolds in Lahore,66.38493325,9319779.0,383.0,0.2296402177,3.0,54582.0,141004.0,,0,0,2025-02-17,ENG,Neutral,32614.0,"['Judiciary', 'Politics']",1
5325,Kamran Shahid,Dawn News,Jang,KPK,Peshawar,Health,Vaccination drive faces shortage,10.86062674,1000000.0,,,5.0,1589923.0,97380.0,,0,0,2024-05-14,Urdu,Neutral,,"['Politics', 'Media']",0
5326,Mohsin Raza,Hum News,Nawa-i-Waqt,Punjab,Lahore,Terrorism,Security forces foil major terror bid,,5000000.0,,,2.0,1001601.0,,1653213.236,1,0,2019-11-28,urdu,Pro-Govt,25871.0,"['Media', 'Politics']",0
5327,Kamran Shahid,Samaa TV,The News,Islamabad,Islamabad,Education,Student unions demand restoration,,1037043.0,,,1.0,,,365757.3345,1,0,2020-01-16,urdu,Opposition,,"['Politics', 'Media']",0
