ID,Journalist,Channel,Newspaper,Region,City,Topic,Headline,Ratings,Revenue,Airtime,SentimentScore,BiasScore,Viewership,Shares,AdSpend,ControversyFlag,MissingDataFlag,Date,Language,PoliticalAffiliation,SocialMediaInteractions
5957,Najam Sethi,ARY,Nawa-i-Waqt,KPK,Rawalpindi,Economy,Education ministry faces criticism,,10 lakh,179,0.274549261,1,1962812,94610,50 lakh,Yes,0,2021-06-24,urdu,Neutral,34605
5958,Asma Shirazi,Samaa,Dawn,Punjab,Peshawar,Education,Vaccination drive faces shortage,-1.507502862,2 crore,89,,,34.64673718,28044,,1,1,2022-09-09,English,Pro-Govt,
5959,Mohsin Raza Khan,Geo,Dawn,AJK,Hyderabad,Education,Private schools increase fees,39.84844593,5 million,191,,0,,180668,2425127.236,0,1,2023-06-19,,,
5960,Ansar Abbasi,ARYNEWS,The News,AJK,Rawalpindi,Media,News anchor resigns citing threats,,10 lakh,380,,-1,1050418,,50 lakh,No,0,2021-01-21,,Pro-Govt,1598
5961,Rauf Klasra,HUM News,Express Tribune,Sindh,Multan,Terrorism,News anchor resigns citing threats,51.48924484,14388651,,,5,1397460,194617,,No,0,2025-08-23,,Opposition,43610
5962,K. Khan,Geo,Daily Pakistan,AJK,Karachi,Sports,Top court rejects NAB report,,2 crore,161,-0.943877154,,45.62062695,1554,490162.2745,,0,2024-08-15,urdu,,
5963,Umar Cheema,ARY News,The News,AJK,Multan,Education,News anchor resigns citing threats,,18693641,109,0.5285839888,,113146,152985,,Yes,,2023-12-03,Urdu,Pro-Govt,
5964,Matiullah Jan,GEO NEWS,Dawn,Sindh,Peshawar,Judiciary,NDMA warns of heavy rains in Punjab,21.58020011,10593332,40,,0,15.1347945,,1752241.24,No,1,2022-01-26,Urdu,Neutral,
5965,Rauf Klasra,hum news,Daily Pakistan,Sindh,Rawalpindi,Media,Bomb blast near Karachi market,,2 crore,471,,,1997991,,50 lakh,No,1,2024-04-04,Urdu,Neutral,19441
5966,Saleem Safi,ARY News,Express Tribune,Punjab,Quetta,Health,Remittances fall sharply in July,90.1523117,14578661,160,,,20.17678595,118634,2504354.445,No,1,2020-04-10,ENG,,25763
5967,Dr. Shahid Masood,DAWN,Daily Pakistan,Balochistan,Peshawar,Crime,ARY anchor arrested in midnight raid,21.55334096,2 crore,,,,,,1 crore,Yes,1,2018-02-19,Urdu,Opposition,35389
5968,Saleem Safi,hum news,Daily Pakistan,Punjab,Karachi,Economy,Security forces foil major terror bid,,10 lakh,155,,,,69501,50 lakh,0,1,2021-06-08,urdu,Pro-Govt,
5969,Umar Cheema,DawnNews,Jang,Punjab,Lahore,Terrorism,Attack on Army convoy in Waziristan,78.87101202,,,1.623357258,,47.87629338,,,,,2025-02-02,English,Neutral,
5970,Ansar Abbasi,ARY,Nawa-i-Waqt,Punjab,Rawalpindi,Media,Quetta blast: ISPR releases statement,19.40435449,5 million,247,-1.342621578,3,13.11531356,2033,50 lakh,No,0,2021-07-24,urdu,Pro-Govt,
5971,RAUF KLASSRA,ARY,The News,AJK,Islamabad,Judiciary,Doctors protest low salaries,,2 crore,,-0.9971330126,,1176544,,50 lakh,0,1,2020-10-04,English,Neutral,
5972,Kamran Shahid,ARYNEWS,Daily Pakistan,AJK,Hyderabad,Media,Private schools increase fees,,10 lakh,43,-1.55454783,,575695,59603,1 crore,0,0,2023-03-25,urdu,Neutral,
5973,Mohsin Raza Khan,ary,Nawa-i-Waqt,Punjab,Islamabad,Economy,Dawn faces backlash over editorial,4.611707134,10 lakh,335,1.660853039,0,,,50 lakh,0,1,2018-02-23,urdu,,
5974,Talat Hussain,Express,Express Tribune,KPK,Peshawar,Health,Top court rejects NAB report,,2 crore,129,0.704248212,,1701606,,1 crore,,0,2021-01-12,Urdu,,45005
5975,Asma Shirazi,SAMAA TV,Nawa-i-Waqt,AJK,Karachi,Crime,Terrorist attack in Quetta leaves 20 dead,32.38621518,133278,,,-1,1402967,,50 lakh,0,,2023-08-01,ENG,Neutral,32786
5976,Talat Hussain,geo,Daily Pakistan,Sindh,Peshawar,Politics,Flood relief funds under scrutiny,80.65446252,2 crore,264,,,20.29988685,152372,50 lakh,1,1,2020-02-10,Urdu,Opposition,
5977,Rauf Klasra,Express-News,Nawa-i-Waqt,Balochistan,Islamabad,Judiciary,News anchor resigns citing threats,1.863968432,5 million,251,0.4535156949,4,299371,,1 crore,No,0,2024-12-22,English,,
5978,Dr. Shahid Masood,Express,Jang,AJK,Karachi,Sports,Army chief meets PM over political crisis,66.98514671,2 crore,,-1.574564912,4,,150772,,0,,2022-06-09,English,Neutral,
5979,Matiullah Jan,Samaa,Daily Pakistan,KPK,Multan,Crime,Hockey team faces funding crisis,,10117381,296,,,44.11868977,139263,50 lakh,1,1,2019-11-05,urdu,Neutral,27372
5980,Kamran Khan,Express-News,The News,Balochistan,Rawalpindi,Terrorism,PPP vs PMLN war of words heats up,40.82045377,19762397,107,1.677942792,,434628,,,1,0,2022-11-23,urdu,Pro-Govt,24747
5981,Owais Tohid,HUM News,The News,Balochistan,Multan,Terrorism,High Court stays government decision,,10 lakh,,1.632154687,,387356,112091,1 crore,1,1,2021-10-12,,Opposition,30588
5982,Talat Hussain,ARY News,Jang,Islamabad,Multan,Media,Counter-terrorism department arrests suspects,52.13538904,10 lakh,369,,4,25.09869337,,1 crore,Yes,0,2025-12-01,urdu,Opposition,20565
5983,Talat Hussain,Samaa,Daily Pakistan,Sindh,Karachi,Terrorism,Senate passes constitutional amendment,,12705702,,0.7773790685,4,604354,,,No,,2022-07-06,English,Neutral,
5984,K. Khan,Express-News,Nawa-i-Waqt,Balochistan,Karachi,Terrorism,IMF deal finalised today,20.01946567,6234367,,-0.2488616161,1,38.39027993,689,,1,0,2020-06-10,urdu,Pro-Govt,19199
5985,Dr. Shahid Masood,Express-News,Daily Pakistan,AJK,Hyderabad,Crime,Flood relief funds under scrutiny,,5 million,,1.361648195,,,,740532.5806,1,0,2022-08-10,Urdu,Opposition,44220
5986,Owais Tohid,DawnNews,Daily Pakistan,KPK,Karachi,Economy,Government to increase petrol price by Rs. 20,,10 lakh,51,,,319372,,1 crore,1,1,2018-09-21,Urdu,Pro-Govt,45146
5987,Rauf Klasra,GEO NEWS,Dawn,Islamabad,Rawalpindi,Education,Revenue from tax declines drastically,,5 million,,,1,,172949,,1,0,2024-09-23,ENG,Neutral,
5988,RAUF KLASSRA,Geo,Daily Pakistan,Sindh,Peshawar,Judiciary,Student unions demand restoration,,5 million,,-1.077892652,5,832756,,1 crore,Yes,1,2023-06-01,urdu,Pro-Govt,9368
5989,Saleem Safi,SAMAA TV,Jang,Sindh,Lahore,Media,PSL Final: Lahore Qalandars vs Karachi Kings,,17059652,,-1.389801415,,45.23774384,111537,3822271.041,,1,2021-03-07,,Pro-Govt,13050
5990,Umar Cheema,GEO NEWS,Daily Pakistan,KPK,Karachi,Education,Journalists protest censorship in Islamabad,69.22228339,5 million,,-1.834030607,0,,,,,0,2025-06-08,ENG,Pro-Govt,
5991,Nusrat Javed,Express,The News,Sindh,Quetta,Sports,Army chief meets PM over political crisis,64.91198314,6834721,,0.06810089274,,1734584,28030,1 crore,1,,2022-09-26,ENG,Opposition,
5992,Matiullah Jan,GEO NEWS,Dawn,Balochistan,Peshawar,Politics,Security forces foil major terror bid,80.56788442,884957,330,,,1459561,,1 crore,Yes,1,2020-09-24,ENG,Neutral,4991
5993,Owais Tohid,ARY News,Dawn,KPK,Islamabad,Economy,SC disqualifies minister in assets case,,5 million,,-1.721214617,0,1023985,96788,1 crore,0,1,2022-02-19,ENG,Neutral,
5994,Shahzeb Khanzada,Samaa,The News,Islamabad,Multan,Crime,Remittances fall sharply in July,,1995082,332,,,2.60181331,180901,50 lakh,,0,2020-08-01,urdu,Neutral,5663
5995,Nusrat Javed,ARY,Nawa-i-Waqt,AJK,Rawalpindi,Crime,Student unions demand restoration,,5 million,,-1.367634394,1,,7372,,,1,2022-02-01,ENG,Opposition,
5996,Najam Sethi,SAMAA TV,Nawa-i-Waqt,AJK,Karachi,Sports,NDMA warns of heavy rains in Punjab,,,,1.507176943,4,27.09766852,5162,50 lakh,0,1,2019-07-25,English,Neutral,
5997,Ansar Abbasi,Samaa,Nawa-i-Waqt,KPK,Quetta,Politics,Remittances fall sharply in July,,10 lakh,436,0.7654608895,5,22561,165940,,Yes,1,2018-06-15,English,Opposition,
5998,Mohsin Raza,DAWN,Express Tribune,Sindh,Islamabad,Economy,Five soldiers martyred in ambush,97.42532093,10 lakh,,,-1,,,50 lakh,,0,2023-03-06,ENG,,
5999,Mohsin Raza,DawnNews,Express Tribune,Punjab,Peshawar,Terrorism,University students protest fee hikes,88.08179419,10 lakh,47,-0.2393829117,,434682,24350,,0,,2020-10-07,urdu,,39232
6000,Talat Hussain,ary,Dawn,Punjab,Karachi,Media,Pakistan seeks investment from Gulf countries,74.33699966,,,-0.6783673996,,1952800,16728,,0,,2025-03-25,Urdu,,13576
6001,Shahzeb Khanzada,Samaa,Daily Pakistan,Punjab,Peshawar,Economy,Pakistan football team defeats India,,10 lakh,,,5,,,50 lakh,No,1,2022-05-04,urdu,Pro-Govt,
6002,RAUF KLASSRA,Samaa,The News,AJK,Multan,Media,Government launches CPEC project in Gwadar,100.0930915,,407,,3,1963820,28084,1 crore,Yes,0,2024-11-19,urdu,Opposition,
6003,Asma Shirazi,ARY News,Dawn,AJK,Multan,Terrorism,Punjab bans junk food in schools,73.27083067,7906348,436,0.6852323648,,43.87837363,,,,0,2024-02-06,,,
6004,Umar Cheema,ARYNEWS,Jang,Punjab,Lahore,Terrorism,Women cricket team sets new record,13.84810957,10 lakh,488,-1.812828886,,,,,,1,2022-10-07,ENG,,
6005,Kamran Shahid,AbbTakk News,Jang,Punjab,Karachi,Judiciary,"Media freedom at risk, says HRCP report",,,271,0.9387627604,,48.43788312,131628,,1,,2018-11-23,Urdu,Pro-Govt,
6006,Mohsin Raza,DAWN,Express Tribune,Punjab,Hyderabad,Sports,Revenue from tax declines drastically,116.9601751,10 lakh,207,-0.6457797284,3,865136,98694,,,,2023-09-01,urdu,Opposition,
6007,Owais Tohid,Express,Daily Pakistan,Sindh,Lahore,Judiciary,Budget deficit reaches record high,,10 lakh,415,-1.920548679,,1070923,176147,1 crore,1,0,2022-10-20,Urdu,Opposition,46991
6008,Kamran Shahid,GEO NEWS,Jang,Balochistan,Islamabad,Politics,Exports see slight recovery,,,417,,-1,26.21627133,59839,,No,1,2021-12-24,ENG,Opposition,20915
6009,Owais Tohid,Samaa,The News,Islamabad,Rawalpindi,Sports,Supreme Court issues notice on corruption case,,5 million,236,,,,149068,1 crore,,,2025-03-02,ENG,Opposition,
6010,Umar Cheema,Geo,The News,AJK,Karachi,Politics,Army chief meets PM over political crisis,,,381,-0.2469517448,1,18.48603248,,,1,,2023-08-16,Urdu,Opposition,29105
6011,Mohsin Raza,DawnNews,Daily Pakistan,Sindh,Lahore,Sports,Security forces foil major terror bid,97.43256276,4273112,464,-0.4276083061,5,1314020,,,Yes,1,2018-01-09,Urdu,Opposition,29682
6012,Nusrat Javed,GEO NEWS,Jang,Balochistan,Quetta,Health,Five soldiers martyred in ambush,,,-23,,3,21.39056729,6664,104259.061,No,,2021-02-15,,Pro-Govt,
6013,K. Khan,Geo,Dawn,AJK,Peshawar,Politics,Curriculum reforms announced,32.94015034,5 million,,,-1,36.46501752,,1 crore,No,,2020-05-17,urdu,Pro-Govt,35317
6014,Saleem Safi,SAMAA TV,Express Tribune,Islamabad,Rawalpindi,Terrorism,Chief Justice orders suo moto on Karachi violence,116.4693101,2 crore,,-0.5053192824,3,1335715,,,1,0,2022-02-26,Urdu,Opposition,4417
6015,Nusrat Javed,ARYNEWS,The News,AJK,Islamabad,Health,Senate passes constitutional amendment,38.38282291,,-30,,,1769427,,3332370.899,Yes,0,2024-10-11,ENG,Neutral,
6016,RAUF KLASSRA,Express,The News,Sindh,Quetta,Judiciary,Teachers boycott classes in KP,,5 million,,-0.9091811204,,,,1 crore,,1,2019-11-23,ENG,Opposition,
6017,Ansar Abbasi,GEO NEWS,Nawa-i-Waqt,Islamabad,Peshawar,Media,High Court stays government decision,,2 crore,-24,-0.4393759696,2,1328514,91501,1 crore,No,1,2019-06-27,urdu,,
6018,Umar Cheema,Samaa,Dawn,AJK,Karachi,Terrorism,Climate change worsening floods,,,,,,1543359,,1737457.212,Yes,0,2023-10-11,urdu,Pro-Govt,
6019,Saleem Safi,hum news,Express Tribune,Sindh,Karachi,Economy,Villages submerged in southern Punjab,52.43741721,,,,2,42.1325243,45445,2258129.949,1,0,2018-12-06,urdu,Pro-Govt,
6020,Umar Cheema,ARY News,Dawn,AJK,Islamabad,Health,Government to increase petrol price by Rs. 20,17.45314675,,141,,,33.53968427,,2331321.49,0,1,2019-09-08,,,31106
6021,RAUF KLASSRA,ARY News,Express Tribune,Islamabad,Karachi,Economy,Attack on Army convoy in Waziristan,,5 million,162,1.09785992,,1148188,25713,50 lakh,1,0,2024-06-28,ENG,Neutral,
6022,K. Khan,ARY News,Dawn,Islamabad,Islamabad,Crime,Vaccination drive faces shortage,79.12599577,5 million,,,5,1624516,35372,50 lakh,No,1,2018-02-09,Urdu,Pro-Govt,
6023,Ansar Abbasi,DawnNews,Daily Pakistan,AJK,Peshawar,Terrorism,PPP vs PMLN war of words heats up,63.93361364,,386,,,,,50 lakh,No,0,2023-12-16,,Opposition,
6024,Talat Hussain,ARY,Dawn,Punjab,Islamabad,Economy,Terrorist attack in Quetta leaves 20 dead,,10 lakh,355,0.7802096088,,48.59747983,58552,,No,0,2025-07-12,,Opposition,29443
6025,Matiullah Jan,geo,Express Tribune,Sindh,Peshawar,Economy,IMF deal finalised today,,2 crore,,0.6522713109,4,650719,67203,,Yes,1,2021-09-25,urdu,Opposition,
6026,Mohsin Raza Khan,ary,Dawn,AJK,Islamabad,Politics,CJ addresses bar association,103.1794128,4359238,499,,,,194866,,Yes,,2022-03-10,English,Opposition,
6027,Kamran Khan,Geo,Express Tribune,KPK,Peshawar,Terrorism,PSL Final: Lahore Qalandars vs Karachi Kings,63.88560469,2 crore,,-0.7602465552,,37.77930614,46382,,No,1,2020-03-13,Urdu,Neutral,
6028,Ansar Abbasi,ARY News,The News,Sindh,Peshawar,Politics,PSL Final: Lahore Qalandars vs Karachi Kings,,2 crore,,,-1,27.50173121,52052,55930.74697,,,2019-05-07,urdu,Pro-Govt,
6029,Kamran Shahid,Express-News,Daily Pakistan,KPK,Islamabad,Terrorism,Attack on Army convoy in Waziristan,86.62771244,10 lakh,53,0.01490098584,2,97903,34342,3614556.495,No,1,2025-01-18,,Neutral,18576
6030,Kamran Shahid,HUM News,Nawa-i-Waqt,KPK,Lahore,Crime,New universities to be established,22.29791551,10 lakh,,-1.82675923,5,,36537,4086291.999,Yes,1,2019-12-02,English,Pro-Govt,35742
6031,Najam Sethi,geo,Dawn,Punjab,Karachi,Media,Remittances fall sharply in July,,,399,0.993072741,,557331,,,Yes,,2022-08-17,urdu,Pro-Govt,
6032,RAUF KLASSRA,GEO NEWS,Nawa-i-Waqt,AJK,Rawalpindi,Economy,Exports see slight recovery,,8562051,,,,1.541124374,,,No,,2020-07-25,English,Neutral,36426
6033,Umar Cheema,ARY News,The News,Punjab,Karachi,Media,Aid for Balochistan still missing,,11049312,,-0.4638398622,,12.3167723,13960,1 crore,No,1,2023-07-08,ENG,,
6034,Ansar Abbasi,HUM News,Nawa-i-Waqt,Sindh,Karachi,Crime,Government announces new health policy,20.56789445,2 crore,,-1.38249443,5,1424854,123246,1 crore,No,,2024-09-24,Urdu,Pro-Govt,25499
6035,Kamran Shahid,HUM News,Daily Pakistan,KPK,Quetta,Terrorism,Chief Justice orders suo moto on Karachi violence,72.04146769,,,1.052638818,,,,1 crore,No,,2025-11-26,,Pro-Govt,2302
6036,Owais Tohid,Samaa,Jang,Islamabad,Karachi,Education,University students protest fee hikes,33.51193896,2 crore,,0.3888775404,1,,,,,0,2025-09-21,Urdu,Neutral,
6037,Mohsin Raza Khan,ARY,The News,Balochistan,Islamabad,Media,Chief Justice orders suo moto on Karachi violence,,,449,,,,,1 crore,0,0,2020-01-07,Urdu,Opposition,3963
6038,Matiullah Jan,ARY,Express Tribune,KPK,Lahore,Health,ARY anchor arrested in midnight raid,103.0959696,,,0.5278113562,4,39.28261574,,1 crore,0,,2022-08-08,Urdu,Pro-Govt,
6039,Shahzeb Khanzada,geo,Express Tribune,Islamabad,Multan,Health,Geo TV faces heavy fines by PEMRA,50.78387171,,103,0.9469910487,5,30.68587419,,50 lakh,,1,2021-10-22,English,Neutral,
6040,Talat Hussain,Samaa,Jang,KPK,Hyderabad,Economy,IMF deal finalised today,,10 lakh,,-1.07518529,0,242824,160114,1 crore,0,,2021-09-21,English,Neutral,19996
6041,Ansar Abbasi,AbbTakk News,Jang,AJK,Quetta,Sports,Digital media gaining popularity,107.5140218,14510476,,,0,1735469,161892,1427911.313,No,1,2018-10-01,,,
6042,Owais Tohid,SAMAA TV,Jang,Balochistan,Lahore,Economy,Militant hideout destroyed in KPK,,2 crore,458,,,1166058,123765,50 lakh,No,0,2024-10-08,English,,15080
6043,Matiullah Jan,Express,The News,KPK,Quetta,Economy,Women cricket team sets new record,53.24877853,1842499,,0.1692415959,2,32.51927121,155383,50 lakh,,0,2019-10-21,,Neutral,22990
6044,Saleem Safi,Express-News,Dawn,Sindh,Islamabad,Economy,Babar Azam century wins the game,,,,-1.639902786,,26.45361645,,50 lakh,Yes,,2023-07-21,ENG,,49719
6045,Kamran Shahid,DawnNews,Dawn,Islamabad,Lahore,Sports,SC disqualifies minister in assets case,,,30,,,1864065,,1 crore,1,1,2022-05-18,,Neutral,
6046,Kamran Khan,DAWN,Dawn,Sindh,Lahore,Terrorism,PEMRA issues warning to multiple channels,,5 million,,1.336912828,-1,,,,1,1,2025-09-05,urdu,Neutral,
6047,Talat Hussain,AbbTakk News,Daily Pakistan,KPK,Multan,Sports,Geo TV faces heavy fines by PEMRA,44.42582589,2 crore,,1.979778246,,35.63648443,,1046511.789,No,0,2018-06-14,Urdu,Opposition,43509
6048,RAUF KLASSRA,DAWN,Daily Pakistan,KPK,Karachi,Media,Karachi Kings beat Multan Sultans,87.20879628,5 million,,,,,8211,2283178.486,No,0,2019-08-10,English,Pro-Govt,
6049,Ansar Abbasi,hum news,Daily Pakistan,Sindh,Lahore,Judiciary,Women cricket team sets new record,,13040328,,-1.890208003,,49.9343235,,1 crore,Yes,1,2021-05-27,ENG,Opposition,
6050,Saleem Safi,Samaa,Nawa-i-Waqt,Balochistan,Islamabad,Terrorism,Counter-terrorism department arrests suspects,,2 crore,99,1.309083099,,46.64304804,59922,1 crore,No,1,2022-05-21,Urdu,Opposition,34685
6051,shahzeb khanzada,AbbTakk News,Express Tribune,Islamabad,Multan,Judiciary,Digital media gaining popularity,-4.072024092,10 lakh,267,1.096341957,,31.95204604,182720,50 lakh,No,0,2022-11-14,urdu,Opposition,
6052,Najam Sethi,ARY,Daily Pakistan,Balochistan,Hyderabad,Sports,Education ministry faces criticism,,366603,,,,,,50 lakh,No,,2021-08-16,Urdu,,
6053,Kamran Khan,SAMAA TV,Daily Pakistan,Islamabad,Quetta,Health,Relief camp set up in Multan,,5 million,,-1.291018904,,,73653,4461112.748,Yes,1,2023-01-06,English,Opposition,36982
6054,Mohsin Raza,Geo,Express Tribune,AJK,Quetta,Terrorism,Dawn faces backlash over editorial,50.11318161,5 million,,,0,,,2051494.78,No,1,2018-05-27,English,Pro-Govt,
6055,Dr. Shahid Masood,SAMAA TV,Nawa-i-Waqt,KPK,Lahore,Politics,Education ministry faces criticism,58.74450723,10 lakh,232,,,1893612,78465,,1,0,2024-10-14,urdu,Pro-Govt,42788
6056,Mohsin Raza Khan,Samaa,The News,KPK,Islamabad,Media,Digital media gaining popularity,112.1588167,5 million,,-0.6692979047,,4.150149091,,50 lakh,0,1,2022-01-21,English,Neutral,
6057,Mohsin Raza Khan,Express-News,The News,Punjab,Peshawar,Media,Matric exams leaked in Karachi,,10 lakh,366,,,327464,135740,1497191.611,No,0,2020-11-24,urdu,Opposition,23047
6058,shahzeb khanzada,DAWN,Dawn,Balochistan,Islamabad,Terrorism,Matric exams leaked in Karachi,,18629775,480,-1.076224454,3,1062453,152129,,1,,2022-04-28,English,Opposition,
6059,Umar Cheema,AbbTakk News,Daily Pakistan,AJK,Peshawar,Education,Karachi drainage system collapses,28.25993327,5 million,,0.3615282874,,38.04360836,100992,1 crore,,,2019-10-20,English,Opposition,44780
6060,Umar Cheema,HUM News,Nawa-i-Waqt,Punjab,Quetta,Health,Karachi drainage system collapses,,10 lakh,230,,,425581,,1 crore,Yes,,2024-08-15,English,Neutral,12304
6061,Saleem Safi,ARY,Nawa-i-Waqt,Sindh,Hyderabad,Terrorism,Stock exchange crashes amid crisis,,5 million,273,0.4707581415,,,18539,1 crore,,,2025-01-02,,,36797
6062,shahzeb khanzada,Samaa,The News,Punjab,Rawalpindi,Crime,Digital media gaining popularity,40.83711441,5 million,405,-1.366652372,3,19.95694516,169747,50 lakh,1,1,2024-05-14,,Opposition,48846
6063,Umar Cheema,Samaa,Jang,KPK,Rawalpindi,Economy,Vaccination drive faces shortage,44.7416655,5222947,306,-0.2357264855,,1953109,2552,1690991.194,0,1,2020-12-03,urdu,Opposition,8422
6064,K. Khan,Geo,Jang,Islamabad,Multan,Terrorism,Terrorist attack in Quetta leaves 20 dead,,5 million,,-0.1783950244,,63916,171986,50 lakh,No,0,2023-09-01,,Pro-Govt,26974
6065,Owais Tohid,ARYNEWS,Jang,AJK,Multan,Crime,Trade deficit widens again,97.25637972,5 million,,,,20.12343087,172054,-2453.040359,1,,2018-08-09,English,Opposition,13769
6066,shahzeb khanzada,geo,Jang,Sindh,Peshawar,Sports,Villages submerged in southern Punjab,,2520365,301,,,,,4148375.267,No,1,2021-07-13,,Pro-Govt,33962
6067,Owais Tohid,Geo,Dawn,AJK,Hyderabad,Education,Lawyers boycott proceedings,,10 lakh,,-0.4541497893,,40.83599143,,50 lakh,Yes,0,2022-07-07,ENG,,22765
6068,K. Khan,AbbTakk News,Express Tribune,Balochistan,Lahore,Health,Doctors protest low salaries,,,-2,,0,48.88685344,,1 crore,0,0,2021-09-21,Urdu,,160
6069,Matiullah Jan,geo,Jang,Islamabad,Rawalpindi,Economy,Attack on Army convoy in Waziristan,104.7908292,19373656,,-1.623107519,,,,50 lakh,No,,2020-02-22,,Neutral,
6070,Mohsin Raza Khan,AbbTakk News,Dawn,Balochistan,Karachi,Terrorism,New talent emerges in under-19 cricket,29.30317315,,272,,,12.66101485,,1 crore,No,0,2023-05-22,,Opposition,30944
6071,Dr. Shahid Masood,hum news,Daily Pakistan,Balochistan,Quetta,Health,Counter-terrorism department arrests suspects,,10 lakh,438,-1.002801177,,1405525,114923,50 lakh,0,,2020-02-15,Urdu,,12455
6072,Umar Cheema,ARY,Dawn,Punjab,Karachi,Health,Stock exchange crashes amid crisis,,5 million,40,-0.3071183529,,8.724672784,,1 crore,0,,2023-08-15,urdu,,
6073,Kamran Shahid,Express-News,Nawa-i-Waqt,Balochistan,Islamabad,Sports,Dengue cases rising in Lahore hospitals,101.6059188,,51,,,11.40062786,158395,50 lakh,1,1,2021-06-05,urdu,Neutral,
6074,Asma Shirazi,hum news,Express Tribune,KPK,Lahore,Terrorism,Quetta blast: ISPR releases statement,,11642474,,,2,28.11891677,,50 lakh,No,,2024-04-01,ENG,Neutral,
6075,Kamran Khan,SAMAA TV,Nawa-i-Waqt,Sindh,Peshawar,Health,Hockey team faces funding crisis,,3822588,476,,3,70927,58085,1 crore,0,0,2024-06-17,English,Neutral,
6076,Saleem Safi,ARY News,Express Tribune,Islamabad,Peshawar,Judiciary,Climate change worsening floods,,10 lakh,,0.9625888138,2,403849,,1 crore,,0,2019-03-01,Urdu,,41319
6077,K. Khan,SAMAA TV,Express Tribune,Islamabad,Rawalpindi,Judiciary,New tax reforms spark debate in parliament,,5 million,292,,,,,762162.3431,Yes,0,2022-09-20,ENG,Opposition,49902
6078,Talat Hussain,Geo,The News,AJK,Lahore,Education,Chief Justice orders suo moto on Karachi violence,,17765942,,1.111863832,,1610066,,50 lakh,Yes,0,2022-11-16,Urdu,Neutral,
6079,Kamran Khan,ARYNEWS,Daily Pakistan,KPK,Peshawar,Education,Top court rejects NAB report,,,390,,0,1770768,,,Yes,1,2018-07-06,Urdu,Neutral,
6080,Kamran Khan,Samaa,Express Tribune,KPK,Quetta,Terrorism,Senate passes constitutional amendment,111.728074,2 crore,432,1.705685325,2,46.58224134,,1 crore,,0,2023-12-27,,,
6081,Najam Sethi,Samaa,Daily Pakistan,Sindh,Rawalpindi,Judiciary,Chief Justice orders suo moto on Karachi violence,,10 lakh,,-1.444173672,,26.79470974,,,1,1,2020-08-27,ENG,Opposition,
6082,Ansar Abbasi,ARYNEWS,Dawn,AJK,Multan,Judiciary,"Judiciary under pressure, say analysts",42.13751213,,,0.5683556242,2,154230,157831,1265621.241,1,,2020-09-10,,Neutral,
6083,Najam Sethi,Express-News,Jang,KPK,Hyderabad,Education,Floods devastate Sindh villages,73.71288547,10 lakh,,-1.144582974,3,,,50 lakh,,0,2024-08-17,Urdu,Neutral,
6084,RAUF KLASSRA,ARYNEWS,The News,Sindh,Islamabad,Education,Villages submerged in southern Punjab,2.202427001,,239,,,,114334,1341954.522,0,0,2024-10-13,ENG,Neutral,32619
6085,Mohsin Raza Khan,GEO NEWS,Jang,Islamabad,Peshawar,Sports,Health workers go on strike in Punjab,,10 lakh,408,0.149694229,-1,7.617645187,186352,50 lakh,No,,2019-02-08,English,Neutral,37331
6086,Mohsin Raza,GEO NEWS,Dawn,KPK,Islamabad,Economy,IMF deal finalised today,66.79198661,10 lakh,,,,721004,,1649814.973,,0,2018-02-21,,Neutral,
6087,Nusrat Javed,DAWN,Dawn,AJK,Multan,Media,Ban on talkshows sparks outrage,70.45436612,2 crore,,,,655417,,50 lakh,0,1,2020-01-01,,Neutral,
6088,Mohsin Raza,HUM News,The News,Punjab,Rawalpindi,Terrorism,Dengue cases rising in Lahore hospitals,16.95193604,1187994,,,1,1745580,155756,,0,1,2023-11-21,Urdu,Opposition,48270
6089,shahzeb khanzada,Samaa,Nawa-i-Waqt,Balochistan,Islamabad,Politics,Exports see slight recovery,41.83119951,2 crore,,-0.5612805497,,,,1851571.655,Yes,0,2018-05-01,English,Neutral,
6090,Saleem Safi,Express,Daily Pakistan,Balochistan,Rawalpindi,Health,Election rigging scandal unfolds in Lahore,,,24,0.5483447101,0,24.54852006,,,,1,2018-06-22,urdu,Pro-Govt,47519
6091,Dr. Shahid Masood,SAMAA TV,Dawn,AJK,Islamabad,Economy,Quetta blast: ISPR releases statement,,9421648,30,,1,23.38194566,52335,3014163.972,Yes,,2021-05-08,English,Opposition,
6092,Kamran Khan,Samaa,Daily Pakistan,Islamabad,Islamabad,Terrorism,University students protest fee hikes,,6498165,,,-1,616958,,50 lakh,No,,2018-01-22,Urdu,,17802
6093,Talat Hussain,hum news,The News,Balochistan,Hyderabad,Judiciary,Relief camp set up in Multan,,5 million,,-1.36313259,5,8.837200879,,1 crore,1,1,2020-12-26,English,Neutral,
6094,Shahzeb Khanzada,HUM News,The News,KPK,Peshawar,Judiciary,SC disqualifies minister in assets case,,16262378,,,,1962158,143443,1132945.248,0,1,2024-06-23,English,Neutral,8101
6095,Talat Hussain,Samaa,Dawn,Punjab,Rawalpindi,Health,Government launches CPEC project in Gwadar,64.97854326,18529065,,,,543767,112281,50 lakh,Yes,,2020-01-03,,Pro-Govt,16516
6096,Dr. Shahid Masood,ARYNEWS,Daily Pakistan,Punjab,Hyderabad,Judiciary,Dollar hits 300 in open market,,10 lakh,,,1,1833336,86487,,No,1,2025-06-16,ENG,,35631
